TranscriptionFactor	Enrichment
ARID3A	3.118091237
ATF1	1.694195237
ATF2	6.490189177
ATF3	2.151523295
BACH1	3.290133778
BATF	3.873915097
BCL11A	5.501747372
BCL3	3.419721047
BCLAF1	4.538914157
BDP1	0
BHLHE40	4.913512282
BRCA1	1.441098754
BRF1	0
BRF2	0
CBX3	1.71844488
CCNT2	2.332476535
CEBPB	2.035768794
CEBPD	1.604430161
CHD1	6.974676051
CHD2	3.452922216
CREB1	3.398395825
CTBP2	7.757807546
CTCF	3.351748785
CTCFL	2.217010608
E2F1	3.909292659
E2F4	1.499194633
E2F6	2.511609659
EBF1	5.426425385
EGR1	3.726306307
ELF1	3.874999933
ELK1	2.481735828
ELK4	1.333872474
EP300	4.179978558
ESR1	5.348327769
ESRRA	0
ETS1	3.318414059
EZH2	11.82402884
FAM48A	0.663405423
FOS	1.494877303
FOSL1	1.486668192
FOSL2	1.796731557
FOXA1	7.451697286
FOXA2	6.650190399
FOXM1	3.896226109
FOXP2	4.486342086
GABPA	2.429216026
GATA1	5.019522201
GATA2	4.668680113
GATA3	5.202991872
GRp20	0
GTF2B	0
GTF2F1	2.146634912
GTF3C2	0
HDAC1	1.0850685
HDAC2	4.430672598
HDAC6	0
HDAC8	1.931087367
HMGN3	1.762216169
HNF4A	1.807438331
HNF4G	1.229906836
HSF1	0
IKZF1	5.482428498
IRF1	1.85465536
IRF3	0.610452929
IRF4	5.208772653
JUN	2.519122159
JUNB	1.429595645
JUND	2.060370502
KAP1	3.72909376
KDM5A	0
KDM5B	1.023399547
MAFF	0.908443298
MAFK	1.496699312
MAX	3.640609698
MAZ	2.420505783
MBD4	5.55451233
MEF2A	3.372472088
MEF2C	4.640282247
MTA3	8.449624976
MXI1	4.305195237
MYBL2	3.294351287
MYC	3.708216771
NANOG	3.008758771
NFATC1	3.988711481
NFE2	4.578344704
NFIC	5.858115391
NFYA	1.160336512
NFYB	3.559514413
NR2C2	1.376794434
NR2F2	4.443240374
NR3C1	3.791889
NRF1	10.01358902
PAX5	6.314118786
PBX3	1.371636919
PHF8	1.407041858
PML	6.116386506
POLR2A	5.855957921
POLR3G	0
POU2F2	4.833196076
POU5F1	0
PPARGC1A	0
PRDM1	1.882406275
RAD21	3.104638343
RBBP5	5.058258279
RCOR1	1.75410013
RDBP	0
RELA	3.933752518
REST	4.376898397
RFX5	1.574299536
RPC155	1.37609201
RUNX3	4.718615821
RXRA	2.28074934
SAP30	0.489091454
SETDB1	0.915725886
SIN3A	5.84747059
SIN3AK20	4.362764318
SIRT6	3.598193666
SIX5	3.348234551
SMARCA4	2.857535542
SMARCB1	1.437056134
SMARCC1	0.136003946
SMARCC2	1.537570254
SMC3	2.161340559
SP1	3.490580994
SP2	3.258087508
SP4	0
SPI1	2.712042589
SREBP1	0
SRF	2.989258954
STAT1	3.060665598
STAT2	1.922775503
STAT3	2.390447723
STAT5A	4.974046408
SUZ12	26.22164209
TAF1	4.792923361
TAF7	2.013811797
TAL1	4.789065311
TBL1XR1	6.295801055
TBP	5.507261602
TCF12	3.561748503
TCF3	3.719829926
TCF7L2	2.086242784
TEAD4	4.62747862
TFAP2A	1.559699756
TFAP2C	0.593531851
THAP1	0
TRIM28	3.488366638
UBTF	6.55045985
USF1	3.160006099
USF2	3.777967832
WRNIP1	9.475241761
YY1	4.335959314
ZBTB33	2.328127003
ZBTB7A	1.767959329
ZEB1	0.123931842
ZKSCAN1	0
ZNF143	1.840785421
ZNF217	3.32184376
ZNF263	3.229384224
ZNF274	0
ZZZ3	0
