TranscriptionFactor	Enrichment
ARID3A	0.35880636965262935
ATF1	0.19495518128347505
ATF2	0.7468419106218772
ATF3	0.24758103725602382
BACH1	0.3786037247873264
BATF	0.4457808661085253
BCL11A	0.6330994994631025
BCL3	0.39351564812542433
BCLAF1	0.5223039311729153
BDP1	0.0
BHLHE40	0.5654098517666337
BRCA1	0.16583075123289648
BRF1	0.0
BRF2	0.0
CBX3	0.1977456469841486
CCNT2	0.2684037683022996
CEBPB	0.23426088432411943
CEBPD	0.18462569486993888
CHD1	0.802592997844992
CHD2	0.3973361877347158
CREB1	0.3910617028097753
CTBP2	0.8927098505665124
CTCF	0.3856939140909196
CTCFL	0.255116822279873
E2F1	0.4498518485676044
E2F4	0.17251598581918481
E2F6	0.28901705406909517
EBF1	0.6244320145548804
EGR1	0.4287951624214316
ELF1	0.4459057009307654
ELK1	0.2855793994738102
ELK4	0.1534919615231631
EP300	0.48100033567107664
ESR1	0.6154451313130319
ESRRA	0.0
ETS1	0.38185800579294865
EZH2	1.3606198606038735
FAM48A	0.07633968129836279
FOS	0.17201918008822412
FOSL1	0.17107453774271134
FOSL2	0.20675428599121592
FOXA1	0.8574849957825107
FOXA2	0.7652536418114848
FOXM1	0.44834824872655493
FOXP2	0.5162543346221535
GABPA	0.2795358176405392
GATA1	0.577608671926174
GATA2	0.5372364165425173
GATA3	0.598720974797089
GRp20	0.0
GTF2B	0.0
GTF2F1	0.24701851914695042
GTF3C2	0.0
HDAC1	0.12486148084480359
HDAC2	0.509848310821024
HDAC6	0.0
HDAC8	0.22221493700065356
HMGN3	0.20278251604697375
HNF4A	0.20798634060421922
HNF4G	0.14152838175391075
HSF1	0.0
IKZF1	0.6308764294951928
IRF1	0.21341971932540546
IRF3	0.07024630858375404
IRF4	0.5993861833880793
JUN	0.2898815358760359
JUNB	0.16450706040814353
JUND	0.23709186282615988
KAP1	0.4291159214610476
KDM5A	0.0
KDM5B	0.11776508387556789
MAFF	0.10453678777063692
MAFK	0.17222884314485998
MAX	0.41893384442097464
MAZ	0.2785335087025157
MBD4	0.6391712919365734
MEF2A	0.38807859508294956
MEF2C	0.5339686047150672
MTA3	0.9723189708618984
MXI1	0.4954093245750663
MYBL2	0.3790890438815585
MYC	0.42671355535449346
NANOG	0.34622521595423034
NFATC1	0.45899076625261104
NFE2	0.526841300448711
NFIC	0.6741076372912156
NFYA	0.133522754756458
NFYB	0.40960201200289753
NR2C2	0.15843109611817674
NR2F2	0.5112945154493367
NR3C1	0.43634192299097374
NRF1	1.1522881310087438
PAX5	0.7265810610126111
PBX3	0.1578376082856329
PHF8	0.16191174106906556
PML	0.703827524842937
POLR2A	0.6738593718903269
POLR3G	0.0
POU2F2	0.5561676699236754
POU5F1	0.0
PPARGC1A	0.0
PRDM1	0.21661308484712197
RAD21	0.3572583123576526
RBBP5	0.5820661269868098
RCOR1	0.20184858357740543
RDBP	0.0
RELA	0.4526665042601005
REST	0.5036603822455934
RFX5	0.18115849031148382
RPC155	0.15835026655456746
RUNX3	0.5429826403623683
RXRA	0.26245139370689335
SAP30	0.05628094749881769
SETDB1	0.10537481293962184
SIN3A	0.6728827140907984
SIN3AK20	0.5020339392090641
SIRT6	0.4140529281081074
SIX5	0.38528952252363824
SMARCA4	0.3288235898883164
SMARCB1	0.1653655570567019
SMARCC1	0.015650306070675083
SMARCC2	0.1769319621692485
SMC3	0.2487107337662291
SP1	0.4016696752839582
SP2	0.3749160823328323
SP4	0.0
SPI1	0.3120813605873906
SREBP1	0.0
SRF	0.34398132442466384
STAT1	0.35219826119087294
STAT2	0.22125847052457656
STAT3	0.2750746543661128
STAT5A	0.5723756614246349
SUZ12	3.0173883604264717
TAF1	0.5515333903402376
TAF7	0.23173423902039297
TAL1	0.5510894350722484
TBL1XR1	0.7244731949457973
TBP	0.6337340354116027
TCF12	0.4098590942535898
TCF3	0.4280499093872149
TCF7L2	0.24006904949033614
TEAD4	0.5324952601457961
TFAP2A	0.17947845799926299
TFAP2C	0.06829915887763767
THAP1	0.0
TRIM28	0.4014148638857726
UBTF	0.7537774041132221
USF1	0.3636296151060481
USF2	0.43473998014999776
WRNIP1	1.0903391978184984
YY1	0.49894942204041504
ZBTB33	0.2679032569743035
ZBTB7A	0.2034433954627771
ZEB1	0.014261139536904315
ZKSCAN1	0.0
ZNF143	0.211823671641955
ZNF217	0.38225266986826273
ZNF263	0.3716131253793593
ZNF274	0.0
ZZZ3	0.0
