TranscriptionFactor	Enrichment
ARID3A	1.521022988
ATF1	3.061470029
ATF2	1.775748382
ATF3	3.398683335
BACH1	1.667294011
BATF	2.06756457
BCL11A	2.346705684
BCL3	3.153065203
BCLAF1	2.200952113
BDP1	4.48058725
BHLHE40	3.567734606
BRCA1	1.544593232
BRF1	3.383105342
BRF2	0.683379543
CBX3	2.523020405
CCNT2	1.850142115
CEBPB	2.415510508
CEBPD	2.363505461
CHD1	1.491638506
CHD2	3.186341578
CREB1	2.130664246
CTBP2	0.810455223
CTCF	2.271160622
CTCFL	2.257098594
E2F1	2.473091689
E2F4	1.95819389
E2F6	3.760633976
EBF1	2.287391309
EGR1	3.060784305
ELF1	3.551112968
ELK1	2.185859825
ELK4	3.09398711
EP300	2.068403458
ESR1	2.364610372
ESRRA	3.657809666
ETS1	2.242100852
EZH2	2.374713678
FAM48A	0.766438671
FOS	2.620685762
FOSL1	5.320568583
FOSL2	3.449675531
FOXA1	1.334957097
FOXA2	1.310446417
FOXM1	1.748534453
FOXP2	2.484548235
GABPA	3.306364003
GATA1	1.20689528
GATA2	1.768094046
GATA3	1.234902757
GRp20	0
GTF2B	1.976003127
GTF2F1	3.012033103
GTF3C2	4.776781878
HDAC1	2.31177209
HDAC2	2.463805471
HDAC6	0.937920874
HDAC8	2.556070308
HMGN3	2.267371437
HNF4A	3.430065084
HNF4G	3.221432557
HSF1	0.741241302
IKZF1	3.091380566
IRF1	2.218504912
IRF3	0.541680509
IRF4	2.10326935
JUN	3.067311112
JUNB	3.732171652
JUND	2.578284242
KAP1	1.630121435
KDM5A	0
KDM5B	2.434359679
MAFF	1.514517513
MAFK	1.655164134
MAX	3.813675297
MAZ	2.405733775
MBD4	1.29453967
MEF2A	1.853329869
MEF2C	2.35204945
MTA3	2.90739128
MXI1	2.390016286
MYBL2	1.965538941
MYC	3.906547124
NANOG	0.422977874
NFATC1	2.553043767
NFE2	4.09325687
NFIC	2.145121582
NFYA	1.973950904
NFYB	1.584378876
NR2C2	3.136459777
NR2F2	2.690212424
NR3C1	2.995224177
NRF1	2.056620485
PAX5	2.14348841
PBX3	2.793993834
PHF8	2.205581454
PML	1.920201468
POLR2A	3.096229996
POLR3G	0.839208458
POU2F2	1.950026934
POU5F1	0.791721543
PPARGC1A	0.934695258
PRDM1	2.331729748
RAD21	2.012200309
RBBP5	1.471560242
RCOR1	2.904530441
RDBP	1.744388974
RELA	1.676991467
REST	2.446966692
RFX5	2.191062425
RPC155	5.019675597
RUNX3	1.973620367
RXRA	2.660541095
SAP30	1.439339436
SETDB1	0.833067013
SIN3A	0.731128984
SIN3AK20	2.063727903
SIRT6	0.983912389
SIX5	1.978307218
SMARCA4	2.749028527
SMARCB1	4.096979493
SMARCC1	6.185253747
SMARCC2	4.880636216
SMC3	2.001845402
SP1	2.267871203
SP2	0.602214773
SP4	0.981242911
SPI1	2.291956364
SREBP1	1.303570898
SRF	1.843506818
STAT1	2.238453356
STAT2	2.392986379
STAT3	2.919137416
STAT5A	2.442172903
SUZ12	0.626896035
TAF1	2.639592593
TAF7	0.625189035
TAL1	1.5568207
TBL1XR1	2.145409277
TBP	2.741035527
TCF12	2.298059028
TCF3	2.521974704
TCF7L2	3.110698016
TEAD4	1.962091156
TFAP2A	4.362303623
TFAP2C	4.07296056
THAP1	0.641831332
TRIM28	2.084392005
UBTF	2.484694528
USF1	2.707761543
USF2	3.354985064
WRNIP1	1.770792128
YY1	3.163407528
ZBTB33	3.552576814
ZBTB7A	1.86601959
ZEB1	1.6781125
ZKSCAN1	2.646241032
ZNF143	1.45189093
ZNF217	1.849721157
ZNF263	1.980041562
ZNF274	0.038996748
ZZZ3	1.189512443
