TranscriptionFactor	Enrichment
ARID3A	0.03446720705948101
ATF1	0.06937457373802053
ATF2	0.04023942285154611
ATF3	0.0770160104058353
BACH1	0.03778178789319061
BATF	0.04685213618332029
BCL11A	0.053177625447828274
BCL3	0.07145017013039194
BCLAF1	0.04987477035310226
BDP1	0.10153254077382638
BHLHE40	0.08084680402879121
BRCA1	0.03500132159562955
BRF1	0.07666300461025222
BRF2	0.015485751633464563
CBX3	0.05717301278659899
CCNT2	0.04192522525172719
CEBPB	0.05473678012737448
CEBPD	0.053558317517165714
CHD1	0.03380133874496434
CHD2	0.07220423084472327
CREB1	0.048282009113345216
CTBP2	0.018365355567738134
CTCF	0.05146573330928965
CTCFL	0.05114708011321117
E2F1	0.056041600949109746
E2F4	0.04437373716948944
E2F6	0.08521800851894887
EBF1	0.051833529478730024
EGR1	0.06935903484810929
ELF1	0.08047014866961688
ELK1	0.04953277091216198
ELK4	0.07011142845450385
EP300	0.04687114582696324
ESR1	0.05358335538179196
ESRRA	0.0828879538152727
ETS1	0.050807223131043446
EZH2	0.05381230178639404
FAM48A	0.017367916593033928
FOS	0.059386162822592084
FOSL1	0.12056697402059431
FOSL2	0.0781715212693906
FOXA1	0.03025085290792991
FOXA2	0.029695427602604674
FOXM1	0.039622740437645416
FOXP2	0.0563012125123946
GABPA	0.07492400418573973
GATA1	0.027348902575294057
GATA2	0.04006597144785634
GATA3	0.027983567219596352
GRp20	0.0
GTF2B	0.04477730415487033
GTF2F1	0.0682543061233179
GTF3C2	0.10824447190723374
HDAC1	0.05238601123097531
HDAC2	0.055831170224327334
HDAC6	0.02125379645078685
HDAC8	0.057921941527504406
HMGN3	0.05137986831161842
HNF4A	0.07772713786922034
HNF4G	0.07299941149394186
HSF1	0.016796930507529045
IKZF1	0.0700523627463149
IRF1	0.05027252631320535
IRF3	0.01227477455329285
IRF4	0.04766122588139912
JUN	0.06950693583033606
JUNB	0.08457303679809389
JUND	0.058425321339542334
KAP1	0.03693943714535685
KDM5A	0.0
KDM5B	0.05516391256682982
MAFF	0.03431978947315339
MAFK	0.037506918300126896
MAX	0.08641995365883655
MAZ	0.05451523404669642
MBD4	0.029334972066435136
MEF2A	0.04199746147976236
MEF2C	0.05329871808427555
MTA3	0.0658830655938599
MXI1	0.054159067206902695
MYBL2	0.044540180017149496
MYC	0.08852447971263323
NANOG	0.009584908359056716
NFATC1	0.0578533584653791
NFE2	0.09275542396097235
NFIC	0.04860962020081895
NFYA	0.044730799665011034
NFYB	0.03590288589590767
NR2C2	0.07107388215197744
NR2F2	0.06096167474607808
NR3C1	0.06787340674840625
NRF1	0.0466041372575533
PAX5	0.04857261162737602
PBX3	0.06331341787646971
PHF8	0.04997967372205106
PML	0.04351280824613809
POLR2A	0.07016225346954261
POLR3G	0.019016919480645485
POU2F2	0.04418866950461805
POU5F1	0.01794084019621463
PPARGC1A	0.021180702238778003
PRDM1	0.05283826258827681
RAD21	0.04559755195313903
RBBP5	0.03334635438414157
RCOR1	0.06581823741785185
RDBP	0.03952880163396138
RELA	0.038001537519859636
REST	0.055449594328441
RFX5	0.04965066465160499
RPC155	0.11374857551895362
RUNX3	0.04472330951050089
RXRA	0.06028930631866883
SAP30	0.03261621341153143
SETDB1	0.01887775101092834
SIN3A	0.016567779890089878
SIN3AK20	0.04676519521899229
SIRT6	0.022295989165367784
SIX5	0.04482951610671439
SMARCA4	0.06229447957448204
SMARCB1	0.09283978062739154
SMARCC1	0.14016120948793376
SMARCC2	0.11059786763117604
SMC3	0.04536290412244461
SP1	0.05139119327583477
SP2	0.013646513856824664
SP4	0.022235497335030358
SPI1	0.05193697609824436
SREBP1	0.029539624595841547
SRF	0.04177486582645624
STAT1	0.05072456888791755
STAT2	0.054226371118109115
STAT3	0.06614923940349754
STAT5A	0.05534096448270109
SUZ12	0.014205804653093942
TAF1	0.05981460187114613
TAF7	0.014167123113485211
TAL1	0.03527840266726856
TBL1XR1	0.04861613952287329
TBP	0.06211335387081114
TCF12	0.05207526579140614
TCF3	0.05714931662635262
TCF7L2	0.07049010665000635
TEAD4	0.04446205132927878
TFAP2A	0.09885216953199677
TFAP2C	0.09229549857228031
THAP1	0.014544246598013294
TRIM28	0.04723345499886869
UBTF	0.056304527593786485
USF1	0.06135934730236757
USF2	0.07602578383752703
WRNIP1	0.04012711144636996
YY1	0.07168453282242852
ZBTB33	0.08050332022434478
ZBTB7A	0.04228501746134074
ZEB1	0.03802694073126437
ZKSCAN1	0.059965259124375045
ZNF143	0.03290063709241707
ZNF217	0.04191568611850314
ZNF263	0.04486881727597989
ZNF274	0.0008836874949720232
ZZZ3	0.026954998048278993
