Element	All DMR	Hyper DMR	Hypo DMR
CpGi	3.974137285	6.801857861	3.615686546
Promoter	5.083130671917186	7.918127357394966	4.723757591177871
ATAC	2.7334583309518035	15.711420452667438	1.088331106186439
H3K4me3	3.048183721	15.93790232	1.414242522
H3K27ac	3.124399277	15.06587972	1.610659724
H3K27me3	3.347130485	6.710677444	2.920756713
H3K4me1	2.96228951	14.78632795	1.463437273
H3K36me3	0.847841699	2.260756001	0.668736246
H3K9me3	1.546038878	0.536804609	1.673972582
Super Enhancer	2.816045648	14.9256088	1.280999403
TFBS    2.573823771	3.742570046	2.425669824
