Sample	PMD_Fraction
14002_T	0.362066536
14006_T	0.444557885
14007_T	0.336307778
14009_T	0.350879936
14020_T	3.72E-05
14021_T	0.352909622
15001_T	7.04E-05
15002_T	3.41E-05
15005_T	0.30663332
15006_T	3.78E-05
16002_T	0.203881817
16010_T	3.65E-05
16015_T	0.379525392
16018_T	0
16021_T	0.382590947
16022_T	0.465166023
16025_T	3.80E-05
16031_T	0.179484972
17014_T	0.355508281
17017_T	0.370870406
17024_T	0.315865085
17027_T	0.373052002
17032_T	0.374016001
17039_T	0
17040_T	3.93E-05
17041_T	0.314838083
17043_T	3.79E-05
17044_T	0
17049_T	0.404902491
18001_T	3.71E-05
18002_T	7.67E-05
18003_T	0.506058736
18004_T	0.000326833
18005_T	7.56E-05
18006_T	0.383985146
18007_T	0.000110751
18008_T	3.78E-05
18009_T	3.65E-05
18010_T	0.429708293
18011_T	3.69E-05
18013_T	0.418377838
18014_T	0.486646758
18015_T	0
18016_T	0.368429785
18017_T	0.296141206
19001_T	0.471678301
19004_T	0.393782923
19005_T	0.301840533
19006_T	0.000173587
19007_T	3.83E-05
19008_T	0.376437933
19010_T	0.432697973
19014_T	0.377414952
19021_T	3.68E-05
19025_T	7.99E-05
19028_T	0.406782582
19032_T	0.128149772
19033_T	0.000130369
19035_T	0.372457588
19036_T	0.383105941
19038_T	0.000113418
19040_T	0.077280707
19041_T	4.42E-05
19055_T	0.383914268
19081_T	0.150400983
19082_T	0.512818596
20001_T	0.403094917
20002_T	3.76E-05
20004_T	0.000105545
20018_T	0.000293546
20037_T	0.41808115
20054_T	0
20068_T	0.309957614
20080_T	0.000174664
20082_T	4.41E-05
20084_T	0.385333072
20087_T	0.181125408
20089_T	3.76E-05
20092_T	0.42652544
20094_T	0.258223787
20095_T	7.68E-05
20102_T	0.435735654
20114_T	0.000141471
20115_T	0.391291828
