ID	14002_N	14006_N	14007_N	14009_N	14020_N	14021_N	15001_N	15002_N	15005_N	15006_N	16002_N	16010_N	16015_N	16018_N	16021_N	16022_N	16025_N	16031_N	17014_N	17017_N	17024_N	17027_N	17032_N	17039_N	17040_N	17041_N	17043_N	17044_N	17049_N	18001_N	18002_N	18003_N	18004_N	18005_N	18006_N	18007_N	18008_N	18009_N	18010_N	18011_N	18013_N	18014_N	18015_N	18016_N	18017_N	19001_N	19004_N	19005_N	19006_N	19007_N	19008_N	19010_N	19014_N	19021_N	19025_N	19028_N	19032_N	19033_N	19035_N	19036_N	19038_N	19040_N	19041_N	19055_N	19081_N	19082_N	20001_N	20002_N	20004_N	20018_N	20037_N	20054_N	20068_N	20080_N	20082_N	20084_N	20087_N	20089_N	20092_N	20094_N	20095_N	20102_N	20114_N	20115_N	14002_T	14006_T	14007_T	14009_T	14020_T	14021_T	15001_T	15002_T	15005_T	15006_T	16002_T	16010_T	16015_T	16018_T	16021_T	16022_T	16025_T	16031_T	17014_T	17017_T	17024_T	17027_T	17032_T	17039_T	17040_T	17041_T	17043_T	17044_T	17049_T	18001_T	18002_T	18003_T	18004_T	18005_T	18006_T	18007_T	18008_T	18009_T	18010_T	18011_T	18013_T	18014_T	18015_T	18016_T	18017_T	19001_T	19004_T	19005_T	19006_T	19007_T	19008_T	19010_T	19014_T	19021_T	19025_T	19028_T	19032_T	19033_T	19035_T	19036_T	19038_T	19040_T	19041_T	19055_T	19081_T	19082_T	20001_T	20002_T	20004_T	20018_T	20037_T	20054_T	20068_T	20080_T	20082_T	20084_T	20087_T	20089_T	20092_T	20094_T	20095_T	20102_T	20114_T	20115_T
chr1:3125447-3140671/PRDM16/513	67.0412	70.8609	65.0979	68.6654	67.3077	73.8115	69.0698	67.9736	69.4064	64.0044	66.0931	68.885	71.1795	57.9325	56.0745	73.306	52.9264	68.5696	70.163	71.8607	72.2959	64.9644	72.4826	77.8936	73.372	54.0693	58.3103	73.011	70.6422	58.5506	64.1662	66.5338	61.2135	71.4253	69.8239	87.8987	65.4391	58.396	68.3771	64.1474	66.0009	69.3601	66.7592	69.5194	76.7015	80.5481	67.7585	74.8789	59.8517	74.7417	69.8503	70.7402	69.552	74.1023	60.1323	66.5036	72.3911	73.7633	70.5748	56.8734	63.8994	75.3908	67.6763	67.7118	61.9167	69.2465	58.6642	71.3841	66.4363	57.9421	57.9148	71.2023	76.1993	74.0214	73.5649	59.2658	71.8842	62.5754	67.9944	64.3367	80.3681	77.3558	57.0145	84.9975	80.3077	79.9829	74.0139	74.0597	69.6528	77.1397	76.7696	75.2042	83.6193	68.9729	66.7737	70.4964	84.2975	79.1009	81.7523	85.6126	71.8838	75.0222	80.0123	78.8717	71.1943	76.0388	84.2846	69.8292	77.0992	56.5131	77.3741	80.0759	83.1718	71.4583	57.2098	75.868	78.8316	62.7753	77.376	88.4745	77.7	79.1402	79.6144	66.2162	80.5275	75.6206	79.8016	79.4948	69.5787	81.2712	70.2895	73.7046	66.516	75.5681	74.0329	75.6996	66.381	74.6698	74.3686	71.5264	72.9606	71.935	76.0384	79.475	76.0039	59.4154	79.3189	79.0054	71.8408	76.675	68.0681	75.6469	68.038	69.0525	76.5483	82.866	69.8241	71.966	74.8938	75.4153	58.2445	71.916	85.2941	85.5056	76.1635	68.3912	77.1471	74.9705
chr1:9232987-9252214/SPSB1/490	67.8726	66.5457	59.5641	76.9493	69.5524	66.9759	69.3002	71.9123	63.5517	64.6098	64.0206	66.9809	62.5571	58.8105	58.4248	63.3618	65.1852	65.5219	68.5101	70.4963	62.9608	68.5819	62.0937	66.4114	66.5284	61.0918	62.2927	71.8851	73.4024	56.9722	62.2433	71.2377	62.4909	72.3961	71.1542	65.9139	64.9607	59.8715	70.5473	60.8482	65.2097	66.3786	66.48	64.1046	60.6659	67.1627	61.887	65.3281	62.1761	65.8436	65.0169	65.844	66.3133	72.6936	60.6262	60.2595	67.9108	64.1497	71.4251	60.3015	62.326	66.4718	61.1896	64.0489	60.8756	68.5714	66.5721	64.4957	62.8707	60.2605	61.1127	66.9465	74.3868	69.4561	64.9831	62.8056	63.5732	57.4511	73.0541	69.517	69.0955	70.7437	60.3628	68.7365	65.6334	71.5598	67.8582	69.2077	66.7955	66.4266	62.4188	71.1448	66.0528	64.6689	67.2201	64.5282	76.0023	65.8537	63.6595	62.5957	64.9035	53.4073	70.5073	66.6965	68.5754	65.1926	72.3688	71.2017	65.1543	59.1686	70.5453	74.2535	73.2618	65.8955	58.509	73.7615	63.4848	67.8182	75.6072	68.8369	70.7971	70.1948	66.5151	62.1493	74.3022	71.9145	75.8647	65.8968	61.031	79.6188	62.5626	68.4323	68.3455	67.777	66.4668	68.6071	46.9708	71.238	68.9984	70.8203	77.5074	60.7153	64.5624	77.4672	77.6786	66.5045	65.2597	66.7129	70.6385	69.4196	73.121	71.4643	65.1539	67.4672	69.578	75.7206	64.2368	65.4461	66.8042	62.65	75.2832	72.6796	80.332	74.003	69.6409	66.7052	75.8421	84.7302
chr1:10628640-10816563/CASZ1/5154	70.2143	67.9213	67.442	70.05	69.8498	69.5035	69.8704	73.5317	69.79	66.7603	71.4782	70.6421	68.756	63.1216	66.977	72.1996	65.6901	73.0074	71.3638	73.4898	68.5153	70.2501	65.7486	71.5102	68.6044	63.2907	65.7108	73.326	73.2783	62.3815	69.1875	70.9858	65.1991	73.6269	71.1087	83.7286	67.6719	64.7291	70.3453	71.0575	67.4275	68.5755	67.6819	69.9321	67.9194	71.1732	69.4044	71.4576	65.6863	69.1982	69.2134	70.7475	69.5802	72.0122	66.3153	69.67	74.0513	70.3441	71.468	64.9852	67.4925	69.163	69.1943	70.5463	65.8472	71.2437	68.2053	69.9109	65.0044	64.9623	66.9304	69.6367	75.0222	75.6841	69.5985	67.6868	71.5374	66.877	72.4761	72.6699	71.8142	73.1228	65.4279	74.0839	74.0233	71.8977	73.1046	73.0663	70.3069	74.993	73.2582	75.3477	65.9147	69.4214	71.1365	71.0124	76.9522	73.1931	75.1321	74.5727	72.5347	67.7688	78.5665	76.3672	73.9087	70.8535	79.3722	73.401	74.5175	64.5797	74.5678	75.3347	79.9264	71.2036	65.0149	74.6202	74.1887	70.673	72.6004	83.5194	77.2784	76.4803	74.8395	70.0106	76.6512	72.2614	77.8017	72.483	72.2669	78.1139	71.8039	73.3149	71.0307	73.6683	72.467	72.7937	68.9304	72.7876	76.4828	74.2609	74.7572	70.7234	70.5853	75.5954	77.9981	74.4948	73.274	75.4402	74.5742	76.3903	68.9644	75.4828	70.3545	69.6049	75.1074	75.987	65.8719	71.5377	72.2147	68.7	76.2831	73.8766	79.8353	73.2617	76.117	68.0453	77.8464	78.8381
chr1:117560767-117655466/FAM46C/1117	69.3837	70.5738	72.47	72.8021	69.9081	72.1803	68.1642	74.8544	71.3227	67.5801	69.8506	69.7365	65.4145	68.1636	67.9345	74.5438	68.7228	75.7872	73.5671	74.8362	71.4686	70.9098	65.9366	69.9347	68.7191	66.8934	66.3755	74.1978	71.4266	62.8406	66.3425	70.1757	64.9458	74.0	70.7499	73.7987	68.763	64.3096	66.8266	69.1871	70.9099	64.8003	67.1794	68.2272	66.406	72.188	68.6226	72.6231	66.9844	69.5691	68.1349	70.1686	70.7416	75.836	62.9304	67.4867	72.7962	69.1549	69.2148	65.1694	66.1742	68.5281	70.2773	69.3232	67.6406	69.5027	66.9901	68.0779	66.7775	64.7221	68.5929	68.7805	76.3643	75.5844	78.7124	67.4769	79.1265	68.3072	77.8094	74.1005	71.7343	76.6552	64.2322	75.6676	75.7722	67.3569	72.8981	73.7486	74.1066	72.2938	74.6155	74.4992	70.6308	73.1564	77.0642	70.9192	78.0443	75.3408	75.12	77.3757	71.2573	62.9583	79.2182	78.9601	76.4303	71.3291	71.0426	73.0573	75.2716	64.3439	73.8854	75.2926	76.9922	69.3607	66.7637	74.6016	75.0151	69.4256	73.2376	76.8002	76.7077	74.2601	72.173	69.9422	75.7643	58.7741	76.9266	73.176	65.4972	62.6385	70.7714	70.2949	71.9186	72.3	68.6205	73.4748	66.8232	71.3887	73.6144	70.5058	75.7896	68.3295	72.6611	72.9647	74.4254	71.6795	71.8583	77.2708	74.1917	71.8081	69.0634	74.5587	65.913	70.5338	77.3718	81.2356	68.1538	72.6469	74.5173	73.3017	73.0528	76.9186	82.9008	84.2254	81.4826	61.5464	81.5141	80.1322
chr10:71962211-72017548/CHST3/1041	71.6386	76.2028	71.6484	69.9535	74.2253	74.3941	75.7667	77.3806	70.7719	75.3918	68.7901	73.9803	70.7255	69.8805	73.3406	75.2313	70.0299	73.082	74.0999	75.0055	75.4315	71.5713	77.8705	75.8618	71.1924	69.753	69.3175	75.3899	74.2865	67.3593	70.7297	71.2448	73.7097	76.7574	71.2143	76.2983	73.221	69.4145	73.1946	76.3631	72.7875	70.9841	73.041	71.2606	70.8484	77.9193	68.8034	73.2146	72.2184	75.4218	72.8986	74.409	76.667	73.7867	74.6869	72.143	74.7427	73.6847	74.713	67.4764	67.8894	71.5281	74.4306	74.3682	70.8632	72.8773	68.418	69.615	73.9705	68.6672	68.9445	73.8979	75.9907	74.0082	68.6107	66.7882	73.4876	71.3268	81.4614	78.2504	78.5568	79.1686	77.4033	82.5795	78.2516	73.1218	75.8997	75.5312	72.7987	76.9066	75.5698	78.1228	73.0338	71.8939	75.3171	70.2856	75.1415	75.7701	78.987	74.1922	74.6713	63.647	79.4411	75.5835	75.4666	65.752	66.7516	73.0566	70.2072	72.2796	75.2559	74.594	74.9701	77.3745	69.0785	70.8239	79.9503	74.7233	73.6938	78.2307	74.9583	76.7089	74.7617	75.0264	77.0073	61.2323	76.5358	69.769	67.7032	58.5936	73.0241	63.643	72.0356	75.8593	73.2464	72.104	74.5822	73.9009	77.7432	76.2968	77.4797	80.0924	74.4428	73.4923	74.5998	70.5059	73.1113	74.7497	77.3303	69.9289	73.0572	73.9278	71.771	72.4287	75.5314	81.4618	74.9712	75.4166	76.7932	75.2885	80.3298	74.7278	82.334	82.7179	73.5601	68.8889	79.0833	83.6572
chr11:62538771-62558538/MTA2/500	39.8501	31.8821	34.982	38.8829	39.8556	41.7773	38.1344	45.2627	35.1522	37.8997	40.9919	34.6716	29.0801	33.062	29.2053	43.2773	35.0723	35.0469	41.0859	40.6726	36.6258	35.1288	36.588	32.1171	36.7027	36.0989	33.8439	38.8905	42.2963	27.5121	31.9732	35.1627	31.5399	40.8637	39.9079	53.7859	32.5886	32.1972	35.8545	40.1121	36.0314	29.0503	29.2841	32.2732	30.9567	35.5216	34.302	39.6427	33.004	30.7177	32.4647	36.2097	35.0769	35.2471	25.3598	33.4853	42.5854	35.2766	35.7982	31.2668	37.5731	28.1603	32.8955	39.1024	37.181	36.7746	40.9975	40.0781	29.9643	29.712	33.8103	34.0981	42.5509	40.9392	32.2976	37.4027	41.8255	34.2988	56.2251	55.5779	37.4865	53.9247	28.9181	46.3391	40.6461	31.5561	45.8771	35.9382	42.6381	33.763	41.3691	45.3853	42.4096	46.6016	47.4765	38.164	54.6346	55.0	46.6001	53.4773	40.6095	34.1565	43.8824	46.9599	47.5076	33.4873	39.4345	40.5187	37.1146	27.948	39.7773	44.2881	53.6832	34.6275	33.511	34.4982	48.2339	38.7601	37.6025	52.0736	38.7376	40.1381	38.2161	32.3129	44.4104	23.6824	41.3023	26.7062	30.0091	47.2812	38.4577	33.1144	38.2066	39.3137	31.7472	37.6751	30.3346	41.7606	45.0709	34.4711	50.5939	34.3275	33.01	37.817	45.4708	29.582	32.5561	43.9968	46.1459	43.7515	40.1861	44.5201	30.9114	39.5986	48.8131	55.4348	30.7101	38.5282	40.738	46.039	67.5516	52.8826	62.3883	57.7624	44.4825	56.6176	59.3144	56.0056
chr11:62538771-62558538/AHNAK/500	39.8501	31.8821	34.982	38.8829	39.8556	41.7773	38.1344	45.2627	35.1522	37.8997	40.9919	34.6716	29.0801	33.062	29.2053	43.2773	35.0723	35.0469	41.0859	40.6726	36.6258	35.1288	36.588	32.1171	36.7027	36.0989	33.8439	38.8905	42.2963	27.5121	31.9732	35.1627	31.5399	40.8637	39.9079	53.7859	32.5886	32.1972	35.8545	40.1121	36.0314	29.0503	29.2841	32.2732	30.9567	35.5216	34.302	39.6427	33.004	30.7177	32.4647	36.2097	35.0769	35.2471	25.3598	33.4853	42.5854	35.2766	35.7982	31.2668	37.5731	28.1603	32.8955	39.1024	37.181	36.7746	40.9975	40.0781	29.9643	29.712	33.8103	34.0981	42.5509	40.9392	32.2976	37.4027	41.8255	34.2988	56.2251	55.5779	37.4865	53.9247	28.9181	46.3391	40.6461	31.5561	45.8771	35.9382	42.6381	33.763	41.3691	45.3853	42.4096	46.6016	47.4765	38.164	54.6346	55.0	46.6001	53.4773	40.6095	34.1565	43.8824	46.9599	47.5076	33.4873	39.4345	40.5187	37.1146	27.948	39.7773	44.2881	53.6832	34.6275	33.511	34.4982	48.2339	38.7601	37.6025	52.0736	38.7376	40.1381	38.2161	32.3129	44.4104	23.6824	41.3023	26.7062	30.0091	47.2812	38.4577	33.1144	38.2066	39.3137	31.7472	37.6751	30.3346	41.7606	45.0709	34.4711	50.5939	34.3275	33.01	37.817	45.4708	29.582	32.5561	43.9968	46.1459	43.7515	40.1861	44.5201	30.9114	39.5986	48.8131	55.4348	30.7101	38.5282	40.738	46.039	67.5516	52.8826	62.3883	57.7624	44.4825	56.6176	59.3144	56.0056
chr14:22545805-22573602/ABHD4/366	60.9887	57.3386	64.4027	62.1415	58.8549	64.1331	56.7961	60.3069	57.4515	57.6094	57.5818	56.5228	58.7391	58.8087	57.5963	66.0806	55.5847	57.4239	57.2068	59.2517	62.355	56.368	61.336	64.6799	60.5075	61.8595	60.0663	57.3537	55.3148	60.5858	59.0722	57.0658	59.9091	54.2336	55.2553	65.1383	59.7314	54.8417	59.4573	61.6604	56.1244	60.3276	53.9979	60.3851	62.1237	66.3748	57.0933	61.3087	58.2422	59.9496	58.1288	65.0633	64.7607	74.6182	59.6005	57.565	56.8018	63.619	60.3257	58.4921	55.6889	63.9457	57.6679	59.0565	64.3198	59.3023	54.6565	55.4144	63.5786	59.8073	65.259	61.8307	59.7646	58.0625	80.1437	59.3654	74.2483	61.6909	70.9059	60.753	67.9218	67.4398	59.633	72.7103	68.6329	56.2115	65.9091	57.2926	56.5515	60.6102	57.0848	60.2242	62.4819	57.5554	72.1714	57.7257	74.0851	72.2076	67.3768	68.1937	61.206	53.3005	66.7546	64.0938	63.5494	62.5075	74.9616	59.7441	63.0971	56.383	60.5536	58.2988	71.0829	63.5438	60.0042	61.9274	64.6613	60.3167	58.6667	69.1447	64.2226	55.6092	58.7777	57.8756	63.392	62.9197	50.0133	64.1575	62.9487	71.9631	59.4248	61.3623	59.8663	56.1239	62.0594	60.208	55.5093	51.4188	55.5785	55.2416	62.9588	61.7662	59.7714	64.7787	59.8664	70.6238	59.7196	62.848	67.5682	61.8142	54.3374	60.6444	61.8352	59.5125	66.278	63.1033	60.8122	65.3357	64.7937	62.2163	78.3642	69.4645	67.423	70.7061	70.6988	60.2468	71.8154	64.8901
chr14:65222320-65307028/FUT8/1108	78.2738	72.0824	71.2425	80.3853	77.8244	77.0739	74.5036	79.4625	74.7772	74.0018	77.9088	77.859	75.0874	71.3155	68.5261	77.9341	72.1519	79.0275	79.5767	80.5788	74.796	79.8466	72.2981	75.4778	76.8289	70.3545	73.1742	80.8316	78.7009	72.4292	75.006	77.5836	74.1432	78.6056	77.9406	86.3111	69.9542	69.5884	77.4335	71.4702	72.246	75.1404	71.9695	74.8456	68.4237	73.712	73.5619	75.4734	70.7667	72.9006	70.0655	74.9144	73.2664	86.2965	69.1365	71.3787	80.5839	72.7416	78.1762	70.3977	75.0531	67.8397	78.5907	77.8938	73.4023	81.3042	73.48	77.737	72.0929	71.3387	67.773	78.4222	82.2015	83.3268	87.6546	74.9373	86.0083	75.8965	82.0215	76.7282	77.9879	80.4886	72.471	77.1814	78.6004	75.574	79.4671	78.6652	79.5498	69.386	80.1841	79.1353	70.0416	79.1821	85.9995	81.4609	75.1695	80.6602	74.4517	72.5007	77.768	66.7478	78.8409	82.1465	80.5973	72.4116	69.6483	79.4497	82.7959	62.7652	83.7513	80.6392	83.2569	75.2109	73.0956	71.1044	81.8251	73.2361	73.0381	85.1658	79.7007	83.2312	79.6016	71.7115	79.6061	61.8387	81.7619	68.0484	65.1565	77.768	79.8881	70.0533	77.9903	79.3572	75.7609	75.5435	64.2113	79.2123	76.2648	69.6929	85.1088	73.2538	70.1743	71.9896	83.2842	69.1727	77.2514	79.8938	83.7211	76.1965	76.3791	81.961	74.1866	77.1578	79.5952	82.8273	71.5113	80.5811	81.5897	75.7369	79.6567	81.7738	86.6258	78.244	86.4726	73.1309	86.0763	82.3027
chr15:98709112-98809983/IGF1R/1210	70.9728	75.1777	73.3133	76.2154	70.6352	73.0102	73.5735	73.3382	76.3481	70.9704	69.75	71.9704	72.0822	70.9362	71.7658	73.1614	70.7603	72.7676	72.3345	75.8436	74.5094	71.4066	75.3589	76.1337	70.9193	71.2686	70.0901	75.1504	74.0314	68.8743	72.4185	70.3844	75.148	74.0203	71.0353	83.6349	71.8212	68.2228	73.2616	73.7268	71.4853	71.8557	74.6235	73.5968	73.8464	77.3089	68.6278	73.1928	67.6767	71.7238	71.7365	76.6049	75.3455	81.483	74.5788	72.4932	73.9115	76.7682	73.9197	71.9183	69.118	74.697	74.5919	70.2641	72.9991	72.9692	68.2805	68.8099	73.9364	72.7397	72.5076	73.4848	76.4078	77.8943	84.8712	67.8103	83.7438	72.11	77.9716	74.1036	76.8099	75.5675	73.4133	79.4951	80.0601	74.6222	77.4828	76.5945	72.2673	73.6244	76.6062	77.3093	78.1246	71.2468	83.8407	70.9383	82.1449	75.7159	78.0842	79.0403	77.0719	65.4541	78.6123	77.5342	75.706	72.1227	76.1618	74.898	76.1933	74.0733	78.0513	79.6618	80.1627	75.9735	69.6211	78.7754	78.8079	72.3497	73.8754	83.4238	79.5564	77.6141	69.1558	71.964	79.299	76.2193	78.6408	73.7223	74.6785	81.898	71.7582	75.0678	71.2294	75.0228	74.5186	74.8411	72.6415	71.1677	77.1389	71.5867	73.3858	73.877	74.5126	78.0368	78.5367	70.3128	76.6094	78.1618	79.8324	77.2835	68.263	74.2336	73.2836	74.915	77.0291	76.009	71.3507	77.2575	78.314	72.5678	78.9978	73.404	75.8341	81.7583	83.2952	71.7381	81.898	80.8968
